transcript	count
AluYk2_65	12.54697277835055
AluYk2_66	13.453105542206087
GA-rich_25155	149.0
L1MB8_1766	44.0
L1MC4_160	16.0
L1MC5a_5189	24.595204893864363
L1MC5a_5193	27.904795106135637
L3_23860	15.659743844721781
L3_43009	18.835819819091498
LSU-rRNA_Hsa_391	1332.7524210720371
LSU-rRNA_Hsa_392	1344.0971938416933
LSU-rRNA_Hsa_394	7.27297466816616
LSU-rRNA_Hsa_400	50.50957811966559
LSU-rRNA_Hsa_401	59.986994488073606
LSU-rRNA_Hsa_402	120.84783961329379
LSU-rRNA_Hsa_419	108.0
LSU-rRNA_Hsa_471	89.0
SSU-rRNA_Hsa_66	1412.116568051989
SSU-rRNA_Hsa_68	1388.1193577264714
SSU-rRNA_Hsa_69	2494.4417883333986
__no_feature	0.0
